,Mot1,Mot2,Cat1,Cat2,Sem1,Sem2
13,abaisseur,abaissement,Ncms,Ncms,@AGM,@ACT
14,abaisseur,abaissement,Ncms,Ncms,@AGM,@RES
15,abaisseur,abaisser,Ncms,Vmn----,@AGM,@
27,abandonnateur,abandonner,Ncms,Vmn----,@AGM,@
46,abandonneur,abandonnement,Ncms,Ncms,@AGM,@ACT
47,abandonneur,abandonnement,Ncms,Ncms,@AGM,@RES
48,abandonneur,abandonner,Ncms,Vmn----,@AGM,@
49,abandonneur,abandonneuse,Ncms,Ncfs,@AGM,@AGF
50,abandonneuse,abandonnement,Ncfs,Ncms,@AGF,@ACT
51,abandonneuse,abandonnement,Ncfs,Ncms,@AGF,@RES
52,abandonneuse,abandonner,Ncfs,Vmn----,@AGF,@
53,abandonneuse,abandonneur,Ncfs,Ncms,@AGF,@AGM
92,abatteur,abattre,Ncms,Vmn----,@AGM,@
93,abatteuse,abattage,Ncfs,Ncms,@AGF,@ACT
94,abatteuse,abattage,Ncfs,Ncms,@AGF,@RES
95,abatteuse,abattement,Ncfs,Ncms,@AGF,@ACT
96,abatteuse,abattement,Ncfs,Ncms,@AGF,@RES
97,abatteuse,abattre,Ncfs,Vmn----,@AGF,@
126,abducteur,abduction,Ncms,Ncfs,@AGM,@ACT
127,abducteur,abduction,Ncms,Ncfs,@AGM,@RES
166,abecqueuse,abecquage,Ncfs,Ncms,@AGF,@ACT
167,abecqueuse,abecquage,Ncfs,Ncms,@AGF,@RES
168,abecqueuse,abecquer,Ncfs,Vmn----,@AGF,@
181,abéqueuse,abéquage,Ncfs,Ncms,@AGF,@ACT
182,abéqueuse,abéquage,Ncfs,Ncms,@AGF,@RES
183,abéqueuse,abéquer,Ncfs,Vmn----,@AGF,@
317,abordeur,abordage,Ncms,Ncms,@AGM,@ACT
318,abordeur,abordage,Ncms,Ncms,@AGM,@RES
319,abordeur,aborder,Ncms,Vmn----,@AGM,@
320,abordeur,aborder,Ncms,Vmn----,@AGM,@
365,aboucheur,abouchement,Ncms,Ncms,@AGM,@ACT
366,aboucheur,abouchement,Ncms,Ncms,@AGM,@RES
367,aboucheur,aboucher,Ncms,Vmn----,@AGM,@
368,aboucheur,aboucher,Ncms,Vmn----,@AGM,@
420,aboyeur,aboiement,Ncms,Ncms,@AGM,@ACT
421,aboyeur,aboiement,Ncms,Ncms,@AGM,@RES
422,aboyeur,aboyer,Ncms,Vmn----,@AGM,@
423,aboyeur,aboyer,Ncms,Vmn----,@AGM,@
424,aboyeur,aboyeuse,Ncms,Ncfs,@AGM,@AGF
425,aboyeuse,aboiement,Ncfs,Ncms,@AGF,@ACT
426,aboyeuse,aboiement,Ncfs,Ncms,@AGF,@RES
427,aboyeuse,aboyer,Ncfs,Vmn----,@AGF,@
428,aboyeuse,aboyer,Ncfs,Vmn----,@AGF,@
429,aboyeuse,aboyeur,Ncfs,Ncms,@AGF,@AGM
456,abréacteur,abréaction,Ncms,Ncfs,@AGM,@ACT
457,abréacteur,abréaction,Ncms,Ncfs,@AGM,@RES
497,abreuveur,abreuvage,Ncms,Ncms,@AGM,@ACT
498,abreuveur,abreuvage,Ncms,Ncms,@AGM,@RES
499,abreuveur,abreuver,Ncms,Vmn----,@AGM,@
500,abreuveur,abreuver,Ncms,Vmn----,@AGM,@
501,abréviateur,abréger,Ncms,Vmn----,@AGM,@
502,abréviateur,abréviatif,Ncms,Afpms,@AGM,@PRP
503,abréviateur,abréviation,Ncms,Ncfs,@AGM,@ACT
504,abréviateur,abréviation,Ncms,Ncfs,@AGM,@RES
556,abrutisseur,abrutir,Ncms,Vmn----,@AGM,@
557,abrutisseur,abrutir,Ncms,Vmn----,@AGM,@
558,abrutisseur,abrutissement,Ncms,Ncms,@AGM,@ACT
559,abrutisseur,abrutissement,Ncms,Ncms,@AGM,@RES
576,absintheur,absinther,Ncms,Vmn----,@AGM,@
577,absintheur,absintheuse,Ncms,Ncfs,@AGM,@AGF
578,absintheuse,absinther,Ncfs,Vmn----,@AGF,@
579,absintheuse,absintheur,Ncfs,Ncms,@AGF,@AGM
580,absoluteur,absolutif,Ncms,Afpms,@AGM,@PRP
581,absoluteur,absolution,Ncms,Ncfs,@AGM,@ACT
582,absoluteur,absolution,Ncms,Ncfs,@AGM,@RES
583,absoluteur,absolutrice,Ncms,Ncfs,@AGM,@AGF
584,absoluteur,absoudre,Ncms,Vmn----,@AGM,@
604,absolutrice,absoluteur,Ncfs,Ncms,@AGF,@AGM
605,absolutrice,absolutif,Ncfs,Afpms,@AGF,@PRP
606,absolutrice,absolution,Ncfs,Ncfs,@AGF,@ACT
607,absolutrice,absolution,Ncfs,Ncfs,@AGF,@RES
608,absolutrice,absoudre,Ncfs,Vmn----,@AGF,@
627,absorbeur,absorber,Ncms,Vmn----,@AGM,@
658,abstracteur,abstractif,Ncms,Afpms,@AGM,@PRP
659,abstracteur,abstraction,Ncms,Ncfs,@AGM,@ACT
660,abstracteur,abstraction,Ncms,Ncfs,@AGM,@RES
661,abstracteur,abstraire,Ncms,Vmn----,@AGM,@
731,accapareur,accaparer,Ncms,Vmn----,@AGM,@
732,accapareur,accaparer,Ncms,Vmn----,@AGM,@
733,accapareur,accapareuse,Ncms,Ncfs,@AGM,@AGF
734,accapareuse,accaparer,Ncfs,Vmn----,@AGF,@
735,accapareuse,accapareur,Ncfs,Ncms,@AGF,@AGM
751,accélérateur,accélératif,Ncms,Afpms,@AGM,@PRP
752,accélérateur,accélération,Ncms,Ncfs,@AGM,@ACT
753,accélérateur,accélération,Ncms,Ncfs,@AGM,@RES
754,accélérateur,accélérer,Ncms,Vmn----,@AGM,@
792,accenseur,accensement,Ncms,Ncms,@AGM,@ACT
793,accenseur,accensement,Ncms,Ncms,@AGM,@RES
794,accenseur,accenser,Ncms,Vmn----,@AGM,@
795,accenseur,accenser,Ncms,Vmn----,@AGM,@
809,accentueur,accentuer,Ncms,Vmn----,@AGM,@
810,accentueur,accentuer,Ncms,Vmn----,@AGM,@
832,accepteur,acception,Ncms,Ncfs,@AGM,@ACT
833,accepteur,acception,Ncms,Ncfs,@AGM,@RES
834,accepteur,acception,Ncms,Ncfs,@AGM,@ACT
835,accepteur,acception,Ncms,Ncfs,@AGM,@RES
843,accesseur,accéder,Ncms,Vmn----,@AGM,@
844,accesseur,accéder,Ncms,Vmn----,@AGM,@
845,accesseur,accession,Ncms,Ncfs,@AGM,@ACT
846,accesseur,accession,Ncms,Ncfs,@AGM,@RES
856,acclamateur,acclamation,Ncms,Ncfs,@AGM,@ACT
857,acclamateur,acclamation,Ncms,Ncfs,@AGM,@RES
858,acclamateur,acclamatrice,Ncms,Ncfs,@AGM,@AGF
859,acclamateur,acclamer,Ncms,Vmn----,@AGM,@
860,acclamateur,acclamer,Ncms,Vmn----,@AGM,@
870,acclamatrice,acclamateur,Ncfs,Ncms,@AGF,@AGM
871,acclamatrice,acclamation,Ncfs,Ncfs,@AGF,@ACT
872,acclamatrice,acclamation,Ncfs,Ncfs,@AGF,@RES
873,acclamatrice,acclamer,Ncfs,Vmn----,@AGF,@
874,acclamatrice,acclamer,Ncfs,Vmn----,@AGF,@
906,acclimateur,acclimater,Ncms,Vmn----,@AGM,@
992,accommodeur,accommodage,Ncms,Ncms,@AGM,@ACT
993,accommodeur,accommodage,Ncms,Ncms,@AGM,@RES
994,accommodeur,accommodement,Ncms,Ncms,@AGM,@ACT
995,accommodeur,accommodement,Ncms,Ncms,@AGM,@RES
996,accommodeur,accommoder,Ncms,Vmn----,@AGM,@
997,accommodeur,accommodeuse,Ncms,Ncfs,@AGM,@AGF
998,accommodeuse,accommodage,Ncfs,Ncms,@AGF,@ACT
999,accommodeuse,accommodage,Ncfs,Ncms,@AGF,@RES
1000,accommodeuse,accommoder,Ncfs,Vmn----,@AGF,@
1001,accommodeuse,accommodeur,Ncfs,Ncms,@AGF,@AGM
1008,accompagnateur,accompagnatrice,Ncms,Ncfs,@AGM,@AGF
1009,accompagnateur,accompagner,Ncms,Vmn----,@AGM,@
1010,accompagnatrice,accompagnateur,Ncfs,Ncms,@AGF,@AGM
1011,accompagnatrice,accompagner,Ncfs,Vmn----,@AGF,@
1040,accomplisseur,accomplir,Ncms,Vmn----,@AGM,@
1041,accomplisseur,accomplir,Ncms,Vmn----,@AGM,@
1042,accomplisseur,accomplissement,Ncms,Ncms,@AGM,@ACT
1043,accomplisseur,accomplissement,Ncms,Ncms,@AGM,@RES
1077,accordeur,accordage,Ncms,Ncms,@AGM,@ACT
1078,accordeur,accordage,Ncms,Ncms,@AGM,@RES
1079,accordeur,accordement,Ncms,Ncms,@AGM,@ACT
1080,accordeur,accordement,Ncms,Ncms,@AGM,@RES
1081,accordeur,accorder,Ncms,Vmn----,@AGM,@
1082,accordeur,accorder,Ncms,Vmn----,@AGM,@
1120,accoucheur,accouchement,Ncms,Ncms,@AGM,@ACT
1121,accoucheur,accouchement,Ncms,Ncms,@AGM,@RES
1122,accoucheur,accoucher,Ncms,Vmn----,@AGM,@
1123,accoucheur,accoucher,Ncms,Vmn----,@AGM,@
1124,accoucheur,accoucheuse,Ncms,Ncfs,@AGM,@AGF
1125,accoucheuse,accouchement,Ncfs,Ncms,@AGF,@ACT
1126,accoucheuse,accouchement,Ncfs,Ncms,@AGF,@RES
1127,accoucheuse,accoucher,Ncfs,Vmn----,@AGF,@
1128,accoucheuse,accoucher,Ncfs,Vmn----,@AGF,@
1129,accoucheuse,accoucheur,Ncfs,Ncms,@AGF,@AGM
1170,accoupleur,accouplage,Ncms,Ncms,@AGM,@ACT
1171,accoupleur,accouplage,Ncms,Ncms,@AGM,@RES
1172,accoupleur,accouplement,Ncms,Ncms,@AGM,@ACT
1173,accoupleur,accouplement,Ncms,Ncms,@AGM,@RES
1174,accoupleur,accoupler,Ncms,Vmn----,@AGM,@
1175,accoupleur,accoupler,Ncms,Vmn----,@AGM,@
1200,accoutreur,accoutrement,Ncms,Ncms,@AGM,@ACT
1201,accoutreur,accoutrement,Ncms,Ncms,@AGM,@RES
1202,accoutreur,accoutrer,Ncms,Vmn----,@AGM,@
1203,accoutreur,accoutrer,Ncms,Vmn----,@AGM,@
1260,accrocheur,accrochage,Ncms,Ncms,@AGM,@ACT
1261,accrocheur,accrochage,Ncms,Ncms,@AGM,@RES
1262,accrocheur,accrochement,Ncms,Ncms,@AGM,@ACT
1263,accrocheur,accrochement,Ncms,Ncms,@AGM,@RES
1264,accrocheur,accrocher,Ncms,Vmn----,@AGM,@
1265,accrocheur,accrocher,Ncms,Vmn----,@AGM,@
1266,accrocheur,accrocheuse,Ncms,Ncfs,@AGM,@AGF
1267,accrocheuse,accrochage,Ncfs,Ncms,@AGF,@ACT
1268,accrocheuse,accrochage,Ncfs,Ncms,@AGF,@RES
1269,accrocheuse,accrochement,Ncfs,Ncms,@AGF,@ACT
1270,accrocheuse,accrochement,Ncfs,Ncms,@AGF,@RES
1271,accrocheuse,accrocher,Ncfs,Vmn----,@AGF,@
1272,accrocheuse,accrocher,Ncfs,Vmn----,@AGF,@
1273,accrocheuse,accrocheur,Ncfs,Ncms,@AGF,@AGM
1330,accumulateur,accumulatif,Ncms,Afpms,@AGM,@PRP
1331,accumulateur,accumulation,Ncms,Ncfs,@AGM,@ACT
1332,accumulateur,accumulation,Ncms,Ncfs,@AGM,@RES
1333,accumulateur,accumulatrice,Ncms,Ncfs,@AGM,@AGF
1334,accumulateur,accumuler,Ncms,Vmn----,@AGM,@
1335,accumulateur,accumuler,Ncms,Vmn----,@AGM,@
1356,accumulatrice,accumulateur,Ncfs,Ncms,@AGF,@AGM
1357,accumulatrice,accumulatif,Ncfs,Afpms,@AGF,@PRP
1358,accumulatrice,accumulation,Ncfs,Ncfs,@AGF,@ACT
1359,accumulatrice,accumulation,Ncfs,Ncfs,@AGF,@RES
1360,accumulatrice,accumuler,Ncfs,Vmn----,@AGF,@
1361,accumulatrice,accumuler,Ncfs,Vmn----,@AGF,@
1372,accusateur,accusatif,Ncms,Afpms,@AGM,@PRP
1373,accusateur,accusation,Ncms,Ncfs,@AGM,@ACT
1374,accusateur,accusation,Ncms,Ncfs,@AGM,@RES
1375,accusateur,accusatrice,Ncms,Ncfs,@AGM,@AGF
1376,accusateur,accuser,Ncms,Vmn----,@AGM,@
1396,accusatrice,accusateur,Ncfs,Ncms,@AGF,@AGM
1397,accusatrice,accusatif,Ncfs,Afpms,@AGF,@PRP
1398,accusatrice,accusation,Ncfs,Ncfs,@AGF,@ACT
1399,accusatrice,accusation,Ncfs,Ncfs,@AGF,@RES
1400,accusatrice,accuser,Ncfs,Vmn----,@AGF,@
1422,acenseur,acensement,Ncms,Ncms,@AGM,@ACT
1423,acenseur,acensement,Ncms,Ncms,@AGM,@RES
1424,acenseur,acenser,Ncms,Vmn----,@AGM,@
1425,acenseur,acenser,Ncms,Vmn----,@AGM,@
1492,acheteur,acheter,Ncms,Vmn----,@AGM,@
1493,acheteur,acheter,Ncms,Vmn----,@AGM,@
1494,acheteur,acheteuse,Ncms,Ncfs,@AGM,@AGF
1495,acheteuse,acheter,Ncfs,Vmn----,@AGF,@
1496,acheteuse,acheteur,Ncfs,Ncms,@AGF,@AGM
1521,acheveur,achevage,Ncms,Ncms,@AGM,@ACT
1522,acheveur,achevage,Ncms,Ncms,@AGM,@RES
1523,acheveur,achever,Ncms,Vmn----,@AGM,@
1524,acheveur,achever,Ncms,Vmn----,@AGM,@
1525,acheveur,acheveuse,Ncms,Ncfs,@AGM,@AGF
1526,acheveuse,achevage,Ncfs,Ncms,@AGF,@ACT
1527,acheveuse,achevage,Ncfs,Ncms,@AGF,@RES
1528,acheveuse,achever,Ncfs,Vmn----,@AGF,@
1529,acheveuse,achever,Ncfs,Vmn----,@AGF,@
1530,acheveuse,acheveur,Ncfs,Ncms,@AGF,@AGM
1598,acquéreur,acquérir,Ncms,Vmn----,@AGM,@
1599,acquéreur,acquérir,Ncms,Vmn----,@AGM,@
1651,acteur,actrice,Ncms,Ncfs,@AGM,@AGF
1670,activateur,activation,Ncms,Ncfs,@AGM,@ACT
1671,activateur,activation,Ncms,Ncfs,@AGM,@RES
1672,activateur,activer,Ncms,Vmn----,@AGM,@
1673,activateur,activer,Ncms,Vmn----,@AGM,@
1674,activateur,activeur,Ncms,Ncms,@AGM,@AGM
1694,activeur,activateur,Ncms,Ncms,@AGM,@AGM
1695,activeur,activation,Ncms,Ncfs,@AGM,@ACT
1696,activeur,activation,Ncms,Ncfs,@AGM,@RES
1697,activeur,activer,Ncms,Vmn----,@AGM,@
1698,activeur,activer,Ncms,Vmn----,@AGM,@
1699,actrice,acteur,Ncfs,Ncms,@AGF,@AGM
1700,actrice,agir,Ncfs,Vmn----,@AGF,@
1701,actualisateur,actualisation,Ncms,Ncfs,@AGM,@ACT
1702,actualisateur,actualisation,Ncms,Ncfs,@AGM,@RES
1703,actualisateur,actualiser,Ncms,Vmn----,@AGM,@
1704,actualisateur,actualiser,Ncms,Vmn----,@AGM,@
1739,acuponctureur,acuponcturer,Ncms,Vmn----,@AGM,@
1740,acuponctureur,acuponcturer,Ncms,Vmn----,@AGM,@
1741,acupuncteur,acupuncture,Ncms,Ncfs,@AGM,@ACT
1742,acupuncteur,acupuncture,Ncms,Ncfs,@AGM,@RES
1747,adaptateur,adaptatif,Ncms,Afpms,@AGM,@PRP
1748,adaptateur,adaptation,Ncms,Ncfs,@AGM,@ACT
1749,adaptateur,adaptation,Ncms,Ncfs,@AGM,@RES
1750,adaptateur,adaptatrice,Ncms,Ncfs,@AGM,@AGF
1751,adaptateur,adapter,Ncms,Vmn----,@AGM,@
1771,adaptatrice,adaptateur,Ncfs,Ncms,@AGF,@AGM
1772,adaptatrice,adaptatif,Ncfs,Afpms,@AGF,@PRP
1773,adaptatrice,adaptation,Ncfs,Ncfs,@AGF,@ACT
1774,adaptatrice,adaptation,Ncfs,Ncfs,@AGF,@RES
1775,adaptatrice,adapter,Ncfs,Vmn----,@AGF,@
1807,additionneuse,additionnement,Ncfs,Ncms,@AGF,@ACT
1808,additionneuse,additionnement,Ncfs,Ncms,@AGF,@RES
1809,additionneuse,additionner,Ncfs,Vmn----,@AGF,@
1810,additionneuse,additionner,Ncfs,Vmn----,@AGF,@
1811,adducteur,adductif,Ncms,Afpms,@AGM,@PRP
1812,adducteur,adduction,Ncms,Ncfs,@AGM,@ACT
1813,adducteur,adduction,Ncms,Ncfs,@AGM,@RES
1814,adducteur,adduire,Ncms,Vmn----,@AGM,@
1875,adjudicateur,adjudicatif,Ncms,Afpms,@AGM,@PRP
1876,adjudicateur,adjudication,Ncms,Ncfs,@AGM,@ACT
1877,adjudicateur,adjudication,Ncms,Ncfs,@AGM,@RES
1878,adjudicateur,adjudication,Ncms,Ncfs,@AGM,@ACT
1879,adjudicateur,adjudication,Ncms,Ncfs,@AGM,@RES
1880,adjudicateur,adjudicatrice,Ncms,Ncfs,@AGM,@AGF
1900,adjudicatrice,adjudicateur,Ncfs,Ncms,@AGF,@AGM
1901,adjudicatrice,adjudicatif,Ncfs,Afpms,@AGF,@PRP
1902,adjudicatrice,adjudication,Ncfs,Ncfs,@AGF,@ACT
1903,adjudicatrice,adjudication,Ncfs,Ncfs,@AGF,@RES
1904,adjudicatrice,adjudication,Ncfs,Ncfs,@AGF,@ACT
1905,adjudicatrice,adjudication,Ncfs,Ncfs,@AGF,@RES
1917,adjuteur,adjutrice,Ncms,Ncfs,@AGM,@AGF
1918,adjutrice,adjuteur,Ncfs,Ncms,@AGF,@AGM
1925,administrateur,administratif,Ncms,Afpms,@AGM,@PRP
1926,administrateur,administration,Ncms,Ncfs,@AGM,@ACT
1927,administrateur,administration,Ncms,Ncfs,@AGM,@RES
1928,administrateur,administratrice,Ncms,Ncfs,@AGM,@AGF
1929,administrateur,administrer,Ncms,Vmn----,@AGM,@
1930,administrateur,administrer,Ncms,Vmn----,@AGM,@
1953,administratrice,administrateur,Ncfs,Ncms,@AGF,@AGM
1954,administratrice,administratif,Ncfs,Afpms,@AGF,@PRP
1955,administratrice,administration,Ncfs,Ncfs,@AGF,@ACT
1956,administratrice,administration,Ncfs,Ncfs,@AGF,@RES
1957,administratrice,administrer,Ncfs,Vmn----,@AGF,@
1958,administratrice,administrer,Ncfs,Vmn----,@AGF,@
1970,admirateur,admiratif,Ncms,Afpms,@AGM,@PRP
1971,admirateur,admiration,Ncms,Ncfs,@AGM,@ACT
1972,admirateur,admiration,Ncms,Ncfs,@AGM,@RES
1973,admirateur,admiratrice,Ncms,Ncfs,@AGM,@AGF
1974,admirateur,admirer,Ncms,Vmn----,@AGM,@
1975,admirateur,admirer,Ncms,Vmn----,@AGM,@
1996,admiratrice,admirateur,Ncfs,Ncms,@AGF,@AGM
1997,admiratrice,admiratif,Ncfs,Afpms,@AGF,@PRP
1998,admiratrice,admiration,Ncfs,Ncfs,@AGF,@ACT
1999,admiratrice,admiration,Ncfs,Ncfs,@AGF,@RES
2000,admiratrice,admirer,Ncfs,Vmn----,@AGF,@
2001,admiratrice,admirer,Ncfs,Vmn----,@AGF,@
2039,admoniteur,admonester,Ncms,Vmn----,@AGM,@
2040,admoniteur,admonitif,Ncms,Afpms,@AGM,@PRP
2041,admoniteur,admonition,Ncms,Ncfs,@AGM,@ACT
2042,admoniteur,admonition,Ncms,Ncfs,@AGM,@RES
2043,admoniteur,admonitrice,Ncms,Ncfs,@AGM,@AGF
2060,admonitrice,admonester,Ncfs,Vmn----,@AGF,@
2061,admonitrice,admoniteur,Ncfs,Ncms,@AGF,@AGM
2062,admonitrice,admonitif,Ncfs,Afpms,@AGF,@PRP
2063,admonitrice,admonition,Ncfs,Ncfs,@AGF,@ACT
2064,admonitrice,admonition,Ncfs,Ncfs,@AGF,@RES
2066,adoniseur,adoniser,Ncms,Vmn----,@AGM,@
2081,adorateur,adoratif,Ncms,Afpms,@AGM,@PRP
2082,adorateur,adoration,Ncms,Ncfs,@AGM,@ACT
2083,adorateur,adoration,Ncms,Ncfs,@AGM,@RES
2084,adorateur,adoratrice,Ncms,Ncfs,@AGM,@AGF
2085,adorateur,adorer,Ncms,Vmn----,@AGM,@
2086,adorateur,adorer,Ncms,Vmn----,@AGM,@
2107,adoratrice,adorateur,Ncfs,Ncms,@AGF,@AGM
2108,adoratrice,adoratif,Ncfs,Afpms,@AGF,@PRP
2109,adoratrice,adoration,Ncfs,Ncfs,@AGF,@ACT
2110,adoratrice,adoration,Ncfs,Ncfs,@AGF,@RES
2111,adoratrice,adorer,Ncfs,Vmn----,@AGF,@
2112,adoratrice,adorer,Ncfs,Vmn----,@AGF,@
2143,adoubeur,adoubement,Ncms,Ncms,@AGM,@ACT
2144,adoubeur,adoubement,Ncms,Ncms,@AGM,@RES
2145,adoubeur,adouber,Ncms,Vmn----,@AGM,@
2146,adoubeur,adouber,Ncms,Vmn----,@AGM,@
2185,adoucisseur,adoucir,Ncms,Vmn----,@AGM,@
2186,adoucisseur,adoucir,Ncms,Vmn----,@AGM,@
2187,adoucisseur,adoucissage,Ncms,Ncms,@AGM,@ACT
2188,adoucisseur,adoucissage,Ncms,Ncms,@AGM,@RES
2189,adoucisseur,adoucissement,Ncms,Ncms,@AGM,@ACT
2190,adoucisseur,adoucissement,Ncms,Ncms,@AGM,@RES
2191,adoucisseur,adoucisseuse,Ncms,Ncfs,@AGM,@AGF
2192,adoucisseuse,adoucir,Ncfs,Vmn----,@AGF,@
2193,adoucisseuse,adoucir,Ncfs,Vmn----,@AGF,@
2194,adoucisseuse,adoucissage,Ncfs,Ncms,@AGF,@ACT
2195,adoucisseuse,adoucissage,Ncfs,Ncms,@AGF,@RES
2196,adoucisseuse,adoucissement,Ncfs,Ncms,@AGF,@ACT
2197,adoucisseuse,adoucissement,Ncfs,Ncms,@AGF,@RES
2198,adoucisseuse,adoucisseur,Ncfs,Ncms,@AGF,@AGM
2211,adulateur,adulatif,Ncms,Afpms,@AGM,@PRP
2212,adulateur,adulation,Ncms,Ncfs,@AGM,@ACT
2213,adulateur,adulation,Ncms,Ncfs,@AGM,@RES
2214,adulateur,adulatrice,Ncms,Ncfs,@AGM,@AGF
2215,adulateur,aduler,Ncms,Vmn----,@AGM,@
2216,adulateur,aduler,Ncms,Vmn----,@AGM,@
2237,adulatrice,adulateur,Ncfs,Ncms,@AGF,@AGM
2238,adulatrice,adulatif,Ncfs,Afpms,@AGF,@PRP
2239,adulatrice,adulation,Ncfs,Ncfs,@AGF,@ACT
2240,adulatrice,adulation,Ncfs,Ncfs,@AGF,@RES
2241,adulatrice,aduler,Ncfs,Vmn----,@AGF,@
2242,adulatrice,aduler,Ncfs,Vmn----,@AGF,@
2253,adultérateur,adultération,Ncms,Ncfs,@AGM,@ACT
2254,adultérateur,adultération,Ncms,Ncfs,@AGM,@RES
2255,adultérateur,adultératrice,Ncms,Ncfs,@AGM,@AGF
2256,adultérateur,adultérer,Ncms,Vmn----,@AGM,@
2257,adultérateur,adultérer,Ncms,Vmn----,@AGM,@
2267,adultératrice,adultérateur,Ncfs,Ncms,@AGF,@AGM
2268,adultératrice,adultération,Ncfs,Ncfs,@AGF,@ACT
2269,adultératrice,adultération,Ncfs,Ncfs,@AGF,@RES
2270,adultératrice,adultérer,Ncfs,Vmn----,@AGF,@
2271,adultératrice,adultérer,Ncfs,Vmn----,@AGF,@
2291,aérateur,aération,Ncms,Ncfs,@AGM,@ACT
2292,aérateur,aération,Ncms,Ncfs,@AGM,@RES
2293,aérateur,aérer,Ncms,Vmn----,@AGM,@
2354,affaiblisseur,affaiblir,Ncms,Vmn----,@AGM,@
2355,affaiblisseur,affaiblir,Ncms,Vmn----,@AGM,@
2356,affaiblisseur,affaiblissement,Ncms,Ncms,@AGM,@ACT
2357,affaiblisseur,affaiblissement,Ncms,Ncms,@AGM,@RES
2413,affaiteur,affaitage,Ncms,Ncms,@AGM,@ACT
2414,affaiteur,affaitage,Ncms,Ncms,@AGM,@RES
2415,affaiteur,affaitement,Ncms,Ncms,@AGM,@ACT
2416,affaiteur,affaitement,Ncms,Ncms,@AGM,@RES
2417,affaiteur,affaiter,Ncms,Vmn----,@AGM,@
2454,affameur,affamation,Ncms,Ncfs,@AGM,@ACT
2455,affameur,affamation,Ncms,Ncfs,@AGM,@RES
2456,affameur,affamement,Ncms,Ncms,@AGM,@ACT
2457,affameur,affamement,Ncms,Ncms,@AGM,@RES
2458,affameur,affamer,Ncms,Vmn----,@AGM,@
2459,affameur,affamer,Ncms,Vmn----,@AGM,@
2460,affameur,affameuse,Ncms,Ncfs,@AGM,@AGF
2461,affameuse,affamer,Ncfs,Vmn----,@AGF,@
2462,affameuse,affamer,Ncfs,Vmn----,@AGF,@
2463,affameuse,affameur,Ncfs,Ncms,@AGF,@AGM
2465,affaneur,affaner,Ncms,Vmn----,@AGM,@
2524,afféreur,afférage,Ncms,Ncms,@AGM,@ACT
2525,afféreur,afférage,Ncms,Ncms,@AGM,@RES
2526,afféreur,concerner,Ncms,Vmn----,@AGM,@
2532,affermateur,affermer,Ncms,Vmn----,@AGM,@
2538,affermeur,affermage,Ncms,Ncms,@AGM,@ACT
2539,affermeur,affermage,Ncms,Ncms,@AGM,@RES
2540,affermeur,affermer,Ncms,Vmn----,@AGM,@
2565,afficheur,affichage,Ncms,Ncms,@AGM,@ACT
2566,afficheur,affichage,Ncms,Ncms,@AGM,@RES
2567,afficheur,afficher,Ncms,Vmn----,@AGM,@
2568,afficheur,afficher,Ncms,Vmn----,@AGM,@
2597,affileur,affilage,Ncms,Ncms,@AGM,@ACT
2598,affileur,affilage,Ncms,Ncms,@AGM,@RES
2599,affileur,affiler,Ncms,Vmn----,@AGM,@
2600,affileur,affiler,Ncms,Vmn----,@AGM,@
2601,affileur,affileuse,Ncms,Ncfs,@AGM,@AGF
2602,affileuse,affilage,Ncfs,Ncms,@AGF,@ACT
2603,affileuse,affilage,Ncfs,Ncms,@AGF,@RES
2604,affileuse,affiler,Ncfs,Vmn----,@AGF,@
2605,affileuse,affiler,Ncfs,Vmn----,@AGF,@
2606,affileuse,affileur,Ncfs,Ncms,@AGF,@AGM
2646,affineur,affinage,Ncms,Ncms,@AGM,@ACT
2647,affineur,affinage,Ncms,Ncms,@AGM,@RES
2648,affineur,affinement,Ncms,Ncms,@AGM,@ACT
2649,affineur,affinement,Ncms,Ncms,@AGM,@RES
2650,affineur,affiner,Ncms,Vmn----,@AGM,@
2651,affineur,affiner,Ncms,Vmn----,@AGM,@
2652,affineur,affineuse,Ncms,Ncfs,@AGM,@AGF
2653,affineuse,affinage,Ncfs,Ncms,@AGF,@ACT
2654,affineuse,affinage,Ncfs,Ncms,@AGF,@RES
2655,affineuse,affinement,Ncfs,Ncms,@AGF,@ACT
2656,affineuse,affinement,Ncfs,Ncms,@AGF,@RES
2657,affineuse,affiner,Ncfs,Vmn----,@AGF,@
2658,affineuse,affineur,Ncfs,Ncms,@AGF,@AGM
2659,affirmateur,affirmatif,Ncms,Afpms,@AGM,@PRP
2660,affirmateur,affirmation,Ncms,Ncfs,@AGM,@ACT
2661,affirmateur,affirmation,Ncms,Ncfs,@AGM,@RES
2662,affirmateur,affirmatrice,Ncms,Ncfs,@AGM,@AGF
2663,affirmateur,affirmer,Ncms,Vmn----,@AGM,@
2664,affirmateur,affirmer,Ncms,Vmn----,@AGM,@
2685,affirmatrice,affirmateur,Ncfs,Ncms,@AGF,@AGM
2686,affirmatrice,affirmatif,Ncfs,Afpms,@AGF,@PRP
2687,affirmatrice,affirmation,Ncfs,Ncfs,@AGF,@ACT
2688,affirmatrice,affirmation,Ncfs,Ncfs,@AGF,@RES
2689,affirmatrice,affirmer,Ncfs,Vmn----,@AGF,@
2690,affirmatrice,affirmer,Ncfs,Vmn----,@AGF,@
2863,affranchisseur,affranchir,Ncms,Vmn----,@AGM,@
